Event String Code,Lap,Sector,Distance around lap,Message
[SSTA],NA,NA,NA,Session has started
[STLG],NA,NA,NA,Start lights [1]
[None],NA,NA,NA,-----------[Track Info]-----------
[None],NA,NA,NA,Track Id        - [Austria]
[None],NA,NA,NA,Track Length    - [4323 Metres]
[None],NA,NA,NA,Pit Speed Limit - [80 KPH]
[None],NA,NA,NA,----------------------------------
[None],NA,NA,NA,----------------------[Session Setup]----------------------
[None],NA,NA,NA,AI Difficulty                     - [85]
[None],NA,NA,NA,Equal Car Performance             - [Off]
[None],NA,NA,NA,Recovery Mode                     - [Flashbacks]
[None],NA,NA,NA,Surface Type                      - [Realistic]
[None],NA,NA,NA,Low Fuel Mode                     - [Easy]
[None],NA,NA,NA,Race Starts                       - [Manual]
[None],NA,NA,NA,Tyre Temperature                  - [Surface & Carcass]
[None],NA,NA,NA,Pit Lane Tyre Sim                 - [Off]
[None],NA,NA,NA,Car Damage                        - [Standard]
[None],NA,NA,NA,Car Damage Rate                   - [Standard]
[None],NA,NA,NA,Collisions                        - [On]
[None],NA,NA,NA,Collisions Off For First Lap Only - [Disabled]
[None],NA,NA,NA,Mp Unsafe Pit Release             - [On]
[None],NA,NA,NA,Mp Off For Griefing               - [Disabled]
[None],NA,NA,NA,Corner Cutting Stringency         - [Regular]
[None],NA,NA,NA,Parc Ferme Rules                  - [On]
[None],NA,NA,NA,Pit Stop Experience               - [Immersive]
[None],NA,NA,NA,Safety Car                        - [Off]
[None],NA,NA,NA,Safety Car Experience             - [Unknown]
[None],NA,NA,NA,Formation Lap                     - [Off]
[None],NA,NA,NA,Formation Lap Experience          - [Unknown]
[None],NA,NA,NA,Red Flags                         - [Off]
[None],NA,NA,NA,Affects Licence Level M P         - [On]
[None],NA,NA,NA,-----------------------------------------------------------
[None],NA,NA,NA,-------[Other Info]-------
[None],NA,NA,NA,Network Game - [Offline]
[None],NA,NA,NA,--------------------------
[None],NA,NA,NA,----------[Session Info]----------
[None],NA,NA,NA,Formula         - [F1 modern]
[None],NA,NA,NA,Session Type    - [Race]
[None],NA,NA,NA,Session Length  - [Short]
[None],NA,NA,NA,Total Laps      - [5]
[None],NA,NA,NA,Game Mode       - [Grand Prix 2023]
[None],NA,NA,NA,Rule Set        - [Race]
[None],NA,NA,NA,Time Of Day     - [15:0]
[None],NA,NA,NA,Current weather - [clear]
[None],NA,NA,NA,----------------------------------
[STLG],NA,NA,NA,Start lights [2]
[STLG],NA,NA,NA,Start lights [3]
[STLG],NA,NA,NA,Start lights [4]
[STLG],NA,NA,NA,Start lights [5]
[PENA],1,1,124.20323,Lap [1] user [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] by doing [Jump start] and recieved [Drive through]
[PENA],1,1,124.20323,Lap [1] user [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] by doing [Jump start] and recieved [This lap invalidated without reason]
[LGOT],NA,NA,NA,Lights have gone out
[OVTK],1,1,136.48042,User [ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],1,1,110.4187,User [ID:2-PIASTRI-McLaren-Australian-81] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,1,35.60897,User [ID:12-BOTTAS-Sauber-Finnish-77] has overtaken [ID:6-ZHOU-Sauber-Chinese-24]
[OVTK],1,1,12.01806,User [ID:0-SARGEANT-Williams-American-2] has overtaken [ID:14-HULKENBERG-Haas-German-27]
[OVTK],1,1,74.60182,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:11-STROLL-Aston Martin-Canadian-18]
[OVTK],1,1,96.33119,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:13-RUSSELL-Mercedes-British-63]
[OVTK],1,1,60.45625,User [ID:12-BOTTAS-Sauber-Finnish-77] has overtaken [ID:5-ALBON-Williams-Thai-23]
[OVTK],1,1,136.09135,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,1,180.2697,User [ID:7-RICCIARDO-RB-Australian-3] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,1,197.23849,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:2-PIASTRI-McLaren-Australian-81]
[OVTK],1,1,142.42952,User [ID:6-ZHOU-Sauber-Chinese-24] has overtaken [ID:5-ALBON-Williams-Thai-23]
[OVTK],1,1,260.81842,User [ID:1-LECLERC-Ferrari-Monegasque-16] has overtaken [ID:15-PEREZ-Red Bull Racing-Mexican-11]
[OVTK],1,1,229.74049,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,1,194.74071,User [ID:9-MAGNUSSEN-Haas-Danish-20] has overtaken [ID:11-STROLL-Aston Martin-Canadian-18]
[OVTK],1,1,282.11841,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,1,316.50629,User [ID:17-ALONSO-Aston Martin-Spanish-14] has overtaken [ID:18-NORRIS-McLaren-British-4]
[OVTK],1,1,365.63489,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,1,397.42886,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:2-PIASTRI-McLaren-Australian-81]
[OVTK],1,1,388.98416,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,1,396.42047,User [ID:16-GASLY-Alpine-French-10] has overtaken [ID:13-RUSSELL-Mercedes-British-63]
[COLL],1,1,432.0943,Collision between user [ID:7-RICCIARDO-RB-Australian-3] and user [ID:4-SAINZ-Ferrari-Spanish-55]
[OVTK],1,1,460.15833,User [ID:2-PIASTRI-McLaren-Australian-81] has overtaken [ID:8-TSUNODA-RB-Japanese-22]
[OVTK],1,1,454.82809,User [ID:13-RUSSELL-Mercedes-British-63] has overtaken [ID:16-GASLY-Alpine-French-10]
[OVTK],1,1,470.32092,User [ID:7-RICCIARDO-RB-Australian-3] has overtaken [ID:10-HAMILTON-Mercedes-British-44]
[OVTK],1,1,459.68509,User [ID:11-STROLL-Aston Martin-Canadian-18] has overtaken [ID:9-MAGNUSSEN-Haas-Danish-20]
[OVTK],1,1,501.08139,User [ID:8-TSUNODA-RB-Japanese-22] has overtaken [ID:2-PIASTRI-McLaren-Australian-81]
[OVTK],1,1,496.35843,User [ID:10-HAMILTON-Mercedes-British-44] has overtaken [ID:7-RICCIARDO-RB-Australian-3]
[OVTK],1,1,458.94254,User [ID:3-OCON-Alpine-French-31] has overtaken [ID:5-ALBON-Williams-Thai-23]
