Position,User,Best Lap Time,Total Lap Time,Laps Completed,Result Status,Grid Position,Points,Total Penalties,Penalty Count,Pit Stop Count,Stints Completed,Visual Tyre Compound,Actual Tyre Compound
1,[ID:1-LECLERC-Ferrari-Monegasque-16],67.631,344.03592,5,Finished,3,25,0,0,0,1,Soft,C5
2,[ID:15-PEREZ-Red Bull Racing-Mexican-11],67.793,345.1319,5,Finished,1,18,0,0,0,1,Soft,C5
3,[ID:18-NORRIS-McLaren-British-4],67.316,345.13611,5,Finished,4,15,0,0,0,1,Soft,C5
4,[ID:8-TSUNODA-RB-Japanese-22],67.56,345.84839,5,Finished,9,12,0,0,0,1,Soft,C5
5,[ID:17-ALONSO-Aston Martin-Spanish-14],67.099,345.84995,5,Finished,7,11,0,0,0,1,Soft,C5
6,[ID:2-PIASTRI-McLaren-Australian-81],67.589,346.29959,5,Finished,6,8,0,0,0,1,Soft,C5
7,[ID:4-SAINZ-Ferrari-Spanish-55],67.569,346.56421,5,Finished,5,6,0,0,0,1,Soft,C5
8,[ID:10-HAMILTON-Mercedes-British-44],67.634,346.82632,5,Finished,11,4,0,0,0,1,Soft,C5
9,[ID:7-RICCIARDO-RB-Australian-3],67.815,347.43808,5,Finished,8,2,0,0,0,1,Soft,C5
10,[ID:13-RUSSELL-Mercedes-British-63],67.789,347.6528,5,Finished,10,1,0,0,0,1,Soft,C5
11,[ID:16-GASLY-Alpine-French-10],67.781,348.07217,5,Finished,13,0,0,0,0,1,Soft,C5
12,[ID:11-STROLL-Aston Martin-Canadian-18],67.797,348.37439,5,Finished,12,0,0,0,0,1,Soft,C5
13,[ID:9-MAGNUSSEN-Haas-Danish-20],68.003,348.96524,5,Finished,14,0,0,0,0,1,Soft,C5
14,[ID:12-BOTTAS-Sauber-Finnish-77],68.213,349.61395,5,Finished,17,0,0,0,0,1,Soft,C5
15,[ID:3-OCON-Alpine-French-31],68.174,349.86221,5,Finished,18,0,0,0,0,1,Soft,C5
16,[ID:6-ZHOU-Sauber-Chinese-24],68.005,350.48892,5,Finished,16,0,0,0,0,1,Soft,C5
17,[ID:5-ALBON-Williams-Thai-23],68.126,350.77765,5,Finished,15,0,0,0,0,1,Soft,C5
18,[ID:0-SARGEANT-Williams-American-2],68.33,351.68262,5,Finished,20,0,0,0,0,1,Soft,C5
19,[ID:14-HULKENBERG-Haas-German-27],68.31,351.92059,5,Finished,19,0,0,0,0,1,Soft,C5
20,[ID:19-VERSTAPPEN-Red Bull Racing-Dutch-33],70.729,385.93677,5,Finished,2,0,0,0,0,1,Soft,C5
